SRCID,Mode,A1,A2,undecided_voter,A3,A4a,A4b,A4c,A4d,A4e,A4f,B1a,B1b,B1c,B1d,B4,B6f,B6g,B7,V1,D1a,D1b,D1c,D1d,D1e,D1f,D3,E1a,E1b,E1c,E1d,E1e,E1f,E1g,E1h,E11a,E13,F1a,F1b,F1c,F1d,F1e,F1f,F1g,F1h,F2a,F2b,F2c,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,StateMap,A4F2_agg,opinionated
2,2,2,"""1""",FALSE,8,2,2,2,2,2,1,2,2,2,1,2,2,3,2,4,2,1,1,1,1,1,3,2,2,2,2,2,1,1,2,2,4,2,2,2,2,2,2,2,3,2,3,2,2,4,3,1,"""1""",0.388888889,FALSE
3,2,2,"""24""",FALSE,7,2,3,2,1,2,1,2,2,2,2,3,4,5,2,4,1,2,2,3,1,3,-99,2,2,2,2,2,1,2,2,2,4,1,1,1,1,2,1,1,2,5,4,4,2,4,1,4,"""4""",0.611111111,TRUE
4,2,2,"""1""",FALSE,7,2,2,2,1,2,2,2,2,2,2,3,5,5,2,3,1,1,1,1,1,1,3,2,2,2,2,2,1,1,2,2,4,2,2,2,2,2,2,2,3,2,2,2,2,4,3,5,"""5""",0.472222222,FALSE
6,2,2,"""3""",FALSE,6,3,3,2,2,2,2,2,2,2,1,4,5,5,1,4,1,2,2,4,2,4,3,2,2,2,2,2,1,1,2,2,4,2,1,2,1,1,1,1,1,-98,2,2,2,4,3,4,"""4""",8.75,FALSE
7,2,2,"""1""",FALSE,5,2,3,2,2,1,2,2,2,2,2,3,4,3,2,4,2,1,3,3,2,3,3,2,2,2,2,2,1,1,2,2,4,2,1,1,1,2,1,1,1,1,1,1,2,4,3,1,"""1""",0.722222222,TRUE
8,2,2,"""1""",FALSE,3,1,2,2,2,1,1,2,2,2,1,1,4,1,2,4,4,3,1,1,3,1,1,2,2,2,2,2,1,1,2,2,4,1,2,2,2,3,2,1,2,2,2,2,2,4,3,8,"""8""",0.583333333,TRUE
9,2,2,"""3""",FALSE,9,3,2,1,4,4,1,2,2,2,2,3,5,5,2,1,1,1,1,1,3,1,1,2,2,2,2,2,1,2,2,1,4,1,1,1,1,1,1,1,1,1,1,1,2,4,3,1,"""1""",0.888888889,TRUE
11,2,1,"""3""",FALSE,8,4,2,2,2,2,2,2,2,2,2,4,5,5,1,4,1,1,3,3,1,1,1,2,2,2,2,1,2,1,2,2,4,1,1,2,1,4,1,1,2,5,1,2,2,3,2,3,"""3""",0.638888889,TRUE
12,2,5,"""1""",FALSE,10,2,2,1,1,1,2,2,2,2,2,3,5,5,1,4,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,4,2,2,2,2,2,2,2,2,3,3,3,2,4,2,6,"""6""",0.333333333,FALSE
13,2,5,"""1""",FALSE,3,2,2,3,2,2,1,2,2,2,2,3,2,2,3,1,2,3,1,3,3,3,2,2,2,2,2,1,1,2,2,1,4,4,2,2,2,3,4,2,3,5,5,3,2,3,3,2,"""2""",0.555555556,TRUE
14,2,2,"""1""",FALSE,8,2,2,2,2,2,2,2,2,2,2,3,5,5,2,3,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,4,2,1,1,1,1,1,1,1,2,2,2,2,4,2,1,"""1""",0.416666667,FALSE
15,2,2,"""1""",FALSE,6,1,2,2,3,4,1,2,2,2,1,2,1,1,1,4,3,4,3,3,4,3,3,2,2,2,2,2,1,1,2,4,4,1,1,1,1,1,1,1,1,5,5,5,2,4,1,2,"""2""",0.833333333,TRUE
16,2,2,"""11""",FALSE,8,2,3,2,2,2,1,2,2,2,1,3,1,1,1,4,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2,1,4,2,1,2,2,1,1,1,1,3,2,2,2,4,3,1,"""1""",0.388888889,FALSE
17,2,2,"""3""",FALSE,8,2,3,2,1,2,1,2,2,2,1,3,5,5,1,4,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,4,1,2,2,3,3,1,1,3,2,2,2,2,3,3,4,"""4""",0.527777778,TRUE
18,2,2,"""3""",FALSE,8,3,2,2,2,2,2,2,2,2,2,2,1,1,1,4,1,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,4,1,2,2,1,2,1,1,2,1,2,2,2,4,1,2,"""2""",0.5,TRUE
19,2,2,"""1""",FALSE,5,1,2,3,1,1,1,2,2,2,2,3,1,-98,1,4,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,4,3,1,2,2,2,1,1,3,1,1,2,2,4,3,2,"""2""",0.805555556,TRUE
20,2,3,"""1""",FALSE,5,3,2,2,2,1,1,2,2,2,1,3,5,5,-98,3,3,1,2,3,3,3,3,2,2,2,2,2,1,1,2,2,4,1,1,2,2,1,1,1,2,1,3,3,2,4,1,4,"""4""",0.444444444,FALSE
22,2,2,"""2""",FALSE,9,1,2,3,1,1,2,2,2,2,1,4,1,1,1,4,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,4,2,2,1,2,3,1,1,1,1,1,1,2,4,3,2,"""2""",0.833333333,TRUE
23,2,2,"""3""",FALSE,6,3,3,2,1,2,1,2,2,2,1,3,4,4,2,3,2,1,1,2,1,1,3,2,2,2,2,2,2,2,2,1,4,1,1,1,1,1,1,1,1,2,2,2,2,4,1,3,"""3""",0.527777778,TRUE
24,2,1,"""2""",FALSE,8,2,2,2,1,2,1,2,2,2,1,3,3,1,2,4,2,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,4,1,1,2,2,2,1,1,1,2,2,2,2,4,3,1,"""1""",0.527777778,TRUE
