SRCID,IntDate,Mode,ORDER,A1,A2,A2_oth,A3,A4_order,A4a,A4b,A4c,A4d,A4e,A4f,B1a,B1b,B1c,B1d,B3,B4,B6_order,B6a,B6b,B6c,B6d,B6e,B6f,B6g,B7,V1,V2_1_C1_Name,V2_2_C1_Name,V2_3_C1_Name,V2_4_C1_Name,V2_5_C1_Name,V2_1_C1_Age,V2_2_C1_Age,V2_3_C1_Age,V2_4_C1_Age,V2_5_C1_Age,V2_1_C1_Emp,V2_2_C1_Emp,V2_3_C1_Emp,V2_4_C1_Emp,V2_5_C1_Emp,V2_1_C1_Occ,V2_2_C1_Occ,V2_3_C1_Occ,V2_4_C1_Occ,V2_5_C1_Occ,V2_1_C1_OccCat,V2_2_C1_OccCat,V2_3_C1_OccCat,V2_4_C1_OccCat,V2_5_C1_OccCat,V2_1_C1_Rate,V2_2_C1_Rate,V2_3_C1_Rate,V2_4_C1_Rate,V2_5_C1_Rate,V2_1_C1_Care,V2_2_C1_Care,V2_3_C1_Care,V2_4_C1_Care,V2_5_C1_Care,V2_1_C1_Health,V2_2_C1_Health,V2_3_C1_Health,V2_4_C1_Health,V2_5_C1_Health,V2_1_C2_Name,V2_2_C2_Name,V2_3_C2_Name,V2_4_C2_Name,V2_5_C2_Name,V2_1_C2_Age,V2_2_C2_Age,V2_3_C2_Age,V2_4_C2_Age,V2_5_C2_Age,V2_1_C2_Emp,V2_2_C2_Emp,V2_3_C2_Emp,V2_4_C2_Emp,V2_5_C2_Emp,V2_1_C2_Occ,V2_2_C2_Occ,V2_3_C2_Occ,V2_4_C2_Occ,V2_5_C2_Occ,V2_1_C2_OccCat,V2_2_C2_OccCat,V2_3_C2_OccCat,V2_4_C2_OccCat,V2_5_C2_OccCat,V2_1_C2_Rate,V2_2_C2_Rate,V2_3_C2_Rate,V2_4_C2_Rate,V2_5_C2_Rate,V2_1_C2_Care,V2_2_C2_Care,V2_3_C2_Care,V2_4_C2_Care,V2_5_C2_Care,V2_1_C2_Health,V2_2_C2_Health,V2_3_C2_Health,V2_4_C2_Health,V2_5_C2_Health,V2_1,V2_2,V2_3,V2_4,V2_5,D1a,D1b,D1c,D1d,D1e,D1f,D3,E1a,E1b,E1c,E1d,E1e,E1f,E1g,E1h,E2,E3,E20a,E20b,E5,E18,E19,E6,E7,E8,E10,E11a,E12,E13,E14,E15_1,E15_2,E15_3,E15_4,E15_5,E15_DK,E15_REF,E16,E17,DUM1,DUM2,DUM3,GINTRO2_GINTRO3_Order,C_SETS_Selected01,C_SETS_Selected02,C_SETS_Selected03,C_SETS_Selected04,C_SETS_Selected05,C_SETS_Selected06,C_SETS_Selected07,C_SETS_Selected08,C_SETS_Selected09,C_SETS_Selected10,C_SETS_Selected11,C_SETS_Selected12,C_SETS_Selected13,C_SETS_Selected14,C_SETS_Selected15,C_SETS_Selected16,C_SETS_Selected17,C_SETS_Selected18,C_SETS_Selected19,C_SETS_Selected20,C_SETS_Selected21,C_SETS_Selected22,C_SETS_Selected23,C_SETS_Selected24,C_SETS_Selected25,C_SETS_Selected26,C_SETS_Selected27,C_SETS_Selected28,C_SETS_Selected29,C_SETS_Selected30,C_SETS_Selected31,C_SETS_Selected32,C_SETS_Selected33,C_SETS_Selected34,C_SETS_Selected35,C_SETS_Selected36,Set_Order_txt,Attribute_Lst_Order,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,C_Loop_1_C_SET,C_Loop_2_C_SET,C_Loop_3_C_SET,C_Loop_4_C_SET,C_Loop_5_C_SET,C_Loop_1_C_Order_txt,C_Loop_2_C_Order_txt,C_Loop_3_C_Order_txt,C_Loop_4_C_Order_txt,C_Loop_5_C_Order_txt,C_Loop_1_C1,C_Loop_2_C1,C_Loop_3_C1,C_Loop_4_C1,C_Loop_5_C1,C_Loop_1_C1_Employment,C_Loop_2_C1_Employment,C_Loop_3_C1_Employment,C_Loop_4_C1_Employment,C_Loop_5_C1_Employment,C_Loop_1_C1_Inequality,C_Loop_2_C1_Inequality,C_Loop_3_C1_Inequality,C_Loop_4_C1_Inequality,C_Loop_5_C1_Inequality,C_Loop_1_C1_Borders,C_Loop_2_C1_Borders,C_Loop_3_C1_Borders,C_Loop_4_C1_Borders,C_Loop_5_C1_Borders,C_Loop_1_C1_COVID_infections,C_Loop_2_C1_COVID_infections,C_Loop_3_C1_COVID_infections,C_Loop_4_C1_COVID_infections,C_Loop_5_C1_COVID_infections,C_Loop_1_C1_Mental_health,C_Loop_2_C1_Mental_health,C_Loop_3_C1_Mental_health,C_Loop_4_C1_Mental_health,C_Loop_5_C1_Mental_health,C_Loop_1_C1_Social_isolation,C_Loop_2_C1_Social_isolation,C_Loop_3_C1_Social_isolation,C_Loop_4_C1_Social_isolation,C_Loop_5_C1_Social_isolation,C_Loop_1_C2,C_Loop_2_C2,C_Loop_3_C2,C_Loop_4_C2,C_Loop_5_C2,C_Loop_1_C2_Employment,C_Loop_2_C2_Employment,C_Loop_3_C2_Employment,C_Loop_4_C2_Employment,C_Loop_5_C2_Employment,C_Loop_1_C2_Inequality,C_Loop_2_C2_Inequality,C_Loop_3_C2_Inequality,C_Loop_4_C2_Inequality,C_Loop_5_C2_Inequality,C_Loop_1_C2_Borders,C_Loop_2_C2_Borders,C_Loop_3_C2_Borders,C_Loop_4_C2_Borders,C_Loop_5_C2_Borders,C_Loop_1_C2_COVID_infections,C_Loop_2_C2_COVID_infections,C_Loop_3_C2_COVID_infections,C_Loop_4_C2_COVID_infections,C_Loop_5_C2_COVID_infections,C_Loop_1_C2_Mental_health,C_Loop_2_C2_Mental_health,C_Loop_3_C2_Mental_health,C_Loop_4_C2_Mental_health,C_Loop_5_C2_Mental_health,C_Loop_1_C2_Social_isolation,C_Loop_2_C2_Social_isolation,C_Loop_3_C2_Social_isolation,C_Loop_4_C2_Social_isolation,C_Loop_5_C2_Social_isolation,G1_1,G1_2,G1_3,G1_4,G1_5,F1_order,F1a,F1b,F1c,F1d,F1e,F1f,F1g,F1h,F2_order,F2a,F2b,F2c,F3_order,F3a,F3b,F3c,F4_order,F4a,F4b,F4c,F4d,F4e,F4f,F4g,F5a,F5b,F5c,p_state,p_region,p_geography,p_seifa,p_gender,p_age_group,p_age_group_r,d_cob_group,p_citizen,p_lote,p_atsi,p_house_str,p_education,weight,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,StateMap
2512,15-AUG-2020,1,1,2,3, ,8,"c,b,a,f,e,d",2,3,2,3,2,2,2,2,2,2, ,3,"g,a,e,d,c,f,b",-99,-99,-99,-99,-99,4,4,1,4,26,23,3,30,28,52,54,33,32,39,1,1,1,1,1,16,47,9,37,3,2,3,2,3,1,1,2,1,1,2,2,2,1,1,2,2,1,1,1,2,7,16,6,12,9,16,42,62,1,14,1,2,3,2,1,14,0,0,0,5,2,3,3,3,1,1,2,2,1,2,1,1,2,1,2,1,2,2,1,2,2,1,1,1,2,2,1,2,3,2,1,1,1,2,2,2,2,2,2,2, ,1,1,1,30, ,2, , , ,-99,2,15,4,-99,1,0,0,0,0,0,0,1, ,1,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"set22,set17,set10,set26,set6","_3,_2,_6,_4,_5,_1",Borders,Household’s economic circumstances,Social isolation,COVID infection rate,Mental health,Employment,22,17,10,26,6,"{Choice58,Choice22}","{Choice17,Choice53}","{Choice46,Choice10}","{Choice26,Choice62}","{Choice42,Choice6}",58,17,46,26,42,0,0,1,1,1,1,2,0,2,1,0,0,1,0,1,2,0,1,0,1,1,1,1,1,1,1,0,0,0,0,22,53,10,62,6,0,0,1,1,1,1,2,0,2,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,2,1,2,1,2,"a,g,e,b,d,c,h,f",1,1,2,2,1,2,1,3,"c,a,b",1,2,1,"c,a,b",1,2,1,"g,a,e,d,c,f,b",1,2,1,2,1,2,1,1, ,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.134107409951583,2,4,1,1,1
3407,19-AUG-2020,1,1,2,3, ,7,"f,d,a,b,e,c",3,3,2,2,2,2,2,2,2,1, ,2,"d,c,g,b,e,f,a",-99,-99,-99,-99,-99,1,1,1,3,3,13,23,24,12,20,59,6,28,60,1,3,1,1,3,16,0,6,49,0,2,3,1,3,3,2,1,1,2,2,2,1,2,2,1,2,1,2,2,2,25,19,37,38,9,36,12,34,31,23,1,1,2,2,1,9,1,0,0,5,2,1,3,3,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,1,1,24, ,2, , , ,-99,1,50,1,-99,0,1,0,0,0,0,0,2, ,2,2,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"set19,set36,set6,set24,set8","_4,_6,_1,_2,_3,_5",COVID infection rate,Social isolation,Employment,Household’s economic circumstances,Borders,Mental health,19,36,6,24,8,"{Choice19,Choice55}","{Choice72,Choice36}","{Choice6,Choice42}","{Choice60,Choice24}","{Choice8,Choice44}",19,72,6,60,8,0,0,1,1,0,0,2,1,1,2,1,1,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,1,0,1,55,36,42,24,44,0,0,1,1,0,0,2,1,1,2,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,2,1,"f,h,c,g,e,a,d,b",1,1,1,1,1,3,3,2,"c,a,b",2,2,2,"c,a,b",1,1,1,"d,c,g,b,e,f,a",1,2,1,2,1,1,1,3, ,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.02288425835616,1,2,2,1,1
842,11-AUG-2020,1,1,2,3, ,7,"f,e,c,a,d,b",2,2,2,2,2,2,2,2,2,1, ,3,"b,c,d,a,g,f,e",-99,-99,-99,-99,-99,3,2,1,4,31,12,28,34,4,26,1,52,38,25,1,1,1,2,2,38,4,2,0,0,3,1,1,3,3,2,2,2,1,1,2,2,2,1,2,2,1,2,1,2,27,14,36,37,18,43,29,58,19,59,1,1,3,1,3,39,25,0,18,0,3,3,3,3,3,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,2,2,2,1,2,3,2,2,3,2,1,1,2,2,2,2,2,1,2,2, , , , , ,2, , , , ,-99,2, ,4,-99,0,0,1,0,0,0,0,2, ,2,2,2,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"set7,set26,set4,set5,set29","_6,_2,_3,_5,_1,_4",Social isolation,Household’s economic circumstances,Borders,Mental health,Employment,COVID infection rate,7,26,4,5,29,"{Choice43,Choice7}","{Choice26,Choice62}","{Choice40,Choice4}","{Choice5,Choice41}","{Choice65,Choice29}",43,26,40,5,65,0,1,0,0,1,2,2,1,1,0,1,0,1,1,0,0,0,2,2,2,1,1,1,1,0,1,0,1,1,1,7,62,4,41,29,0,1,0,0,1,2,2,1,1,0,0,1,0,0,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,2,2,2,"d,b,c,e,f,h,g,a",1,1,1,1,1,1,1,2,"c,a,b",2,2,2,"c,a,b",1,1,2,"b,c,d,a,g,f,e",2,2,2,2,1,1,1, , , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1.09057769132701,2,4,2,1,1
215,11-AUG-2020,1,2,2,3, ,8,"b,f,e,c,d,a",3,3,4,2,1,3,2,2,2,1, ,3,"b,c,f,g,a,d,e",-99,-99,-99,-99,-99,2,2,1,4,38,7,32,23,40,25,50,11,48,47,1,3,1,2,3,15,0,6,0,0,2,3,1,3,3,1,2,2,2,1,1,2,2,1,2,1,2,1,1,2,17,16,5,18,33,65,49,9,61,52,3,1,2,3,2,0,20,0,0,0,3,3,3,3,3,2,1,2,1,1,1,2,2,1,1,2,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2, , , , , ,2, , , , ,-99,2, ,4,-99,1,0,0,0,0,0,0,2, ,2,2,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"set6,set28,set2,set22,set8","_4,_2,_6,_1,_3,_5",COVID infection rate,Household’s economic circumstances,Social isolation,Employment,Borders,Mental health,6,28,2,22,8,"{Choice6,Choice42}","{Choice64,Choice28}","{Choice2,Choice38}","{Choice58,Choice22}","{Choice8,Choice44}",6,64,2,58,8,1,1,0,0,0,1,0,0,1,2,0,0,1,0,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,42,28,38,22,44,1,1,0,0,0,1,0,0,1,2,1,1,0,1,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,2,1,"b,a,d,g,f,e,c,h",1,1,1,1,1,1,1,2,"b,a,c",1,3,2,"b,a,c",1,2,2,"b,c,f,g,a,d,e",2,2,1,2,1,1,1, , ,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1.01615022489352,1,4,2,1,1
1142,12-AUG-2020,1,1,2,2, ,8,"b,e,f,a,d,c",2,2,2,2,2,2,2,2,2,2, ,3,"d,e,f,b,a,c,g",-99,-99,-99,-99,-99,4,5,2,4,36,12,22,7,26,8,3,58,6,56,1,1,3,1,2,15,1,0,10,0,2,1,3,2,3,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,29,39,10,35,31,68,30,26,34,55,3,1,1,2,2,0,38,26,0,0,3,3,3,3,3,1,2,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,2,1,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2, ,1,2,1,32, ,2, , , ,-99,1,0,4,-99,1,0,0,0,0,0,0,2, ,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"set28,set14,set16,set19,set29","_1,_6,_4,_3,_2,_5",Employment,Social isolation,COVID infection rate,Borders,Household’s economic circumstances,Mental health,28,14,16,19,29,"{Choice64,Choice28}","{Choice14,Choice50}","{Choice52,Choice16}","{Choice19,Choice55}","{Choice65,Choice29}",64,14,52,19,65,1,0,1,0,1,0,1,2,0,0,0,0,1,1,0,1,2,0,0,2,1,1,1,0,0,1,0,0,0,1,28,50,16,55,29,1,0,1,0,1,0,1,2,0,0,1,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,1,1,1,0,2,2,1,1,2,"b,d,h,c,f,a,e,g",1,1,2,2,1,1,1,2,"b,a,c",3,2,3,"b,a,c",3,2,3,"d,e,f,b,a,c,g",2,2,2,2,1,2,1, , , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1.08179823955147,2,3,2,1,1
301,15-AUG-2020,2,1,2,1, ,6,"a,d,b,c,f,e",1,1,3,1,1,3,2,2,2,1, ,3,"c,e,g,b,d,f,a",-99,-99,-99,-99,-99,1,3,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,7, , , , ,2, , , , ,-99,3, ,4,-99,1,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"c,a,b,e,h,g,d,f",3,2,2,2,2,1,1,2,"a,c,b",1,1,1,"a,c,b",1,4,5,"c,e,g,b,d,f,a",1,2,2,2,2,2,2,4, , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.854260010261424,2,4,3,1,1
2639,16-AUG-2020,1,2,2,3, ,8,"a,c,d,b,e,f",2,2,2,2,2,2,2,2,2,2, ,3,"g,b,d,f,a,c,e",-99,-99,-99,-99,-99,5,5,1,3,32,16,31,21,19,57,6,8,4,43,1,1,2,1,2,8,14,0,16,0,2,2,3,2,3,2,2,2,1,1,2,2,1,2,1,2,2,1,2,1,30,15,11,37,40,59,39,21,26,10,3,1,2,1,1,0,2,0,13,15,3,1,3,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,5, , , , ,2, , , , ,-99,2, ,4,-99,1,0,0,0,0,0,0,2, ,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,"set32,set34,set29,set8,set15","_3,_1,_6,_5,_2,_4",Borders,Employment,Social isolation,Mental health,Household’s economic circumstances,COVID infection rate,32,34,29,8,15,"{Choice32,Choice68}","{Choice70,Choice34}","{Choice29,Choice65}","{Choice44,Choice8}","{Choice15,Choice51}",32,70,29,44,15,1,1,1,0,0,1,2,0,2,1,1,0,1,0,1,2,0,1,1,0,1,1,1,0,0,0,1,0,0,1,68,34,65,8,51,1,1,1,0,0,1,2,0,2,1,0,1,0,1,0,0,2,2,0,1,0,0,0,1,1,1,0,1,1,0,2,1,1,2,1,"a,d,b,h,g,c,f,e",1,2,2,2,1,1,2,3,"a,b,c",1,1,1,"a,b,c",1,1,2,"g,b,d,f,a,c,e",2,2,2,2,2,2,1, , , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.94251927271349,1,3,2,1,1
46,17-AUG-2020,2,1,1,1, ,9,"d,e,f,b,c,a",2,2,2,2,2,1,1,2,1,1,5,3,"g,e,f,b,c,a,d",-99,-99,-99,-99,-99,1,1,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,1,1,2,2,2,2,1,1,1,1,5, , , , ,2, , , , ,-99,3, ,4,-99, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"d,c,f,a,b,e,g,h",1,1,1,1,1,1,1,1,"a,c,b",1,1,2,"a,c,b",1,1,5,"g,e,f,b,c,a,d",2,2,2,2,2,2,2, , , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.276382770160133,2,4, ,1,1
1711,17-AUG-2020,1,1,2,1, ,8,"d,c,e,a,b,f",3,2,2,2,2,1,2,2,2,2, ,3,"c,d,e,a,g,f,b",-99,-99,-99,-99,-99,3,3,2,2,26,27,34,12,36,10,53,46,44,4,2,3,2,3,1,0,0,0,0,18,3,3,3,3,3,1,2,1,2,1,2,1,1,1,2,1,2,1,2,2,4,35,17,32,11,1,57,31,40,50,1,2,1,2,2,17,0,4,0,0,2,3,1,3,3,1,2,2,1,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2, ,1,2,1,15, ,1, , , ,-99,1,10,4,-99,1,0,0,0,0,0,0,2, ,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"set36,set25,set24,set17,set22","_5,_1,_6,_3,_4,_2",Mental health,Employment,Social isolation,Borders,COVID infection rate,Household’s economic circumstances,36,25,24,17,22,"{Choice36,Choice72}","{Choice61,Choice25}","{Choice24,Choice60}","{Choice53,Choice17}","{Choice22,Choice58}",36,61,24,53,22,0,0,1,0,0,2,2,1,2,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,72,25,60,17,58,0,0,1,0,0,2,2,1,2,1,1,1,0,0,0,2,2,1,0,2,0,0,0,1,1,0,0,0,0,1,1,1,1,1,2,"b,c,g,a,h,d,f,e",2,1,1,1,1,1,1,1,"a,b,c",2,2,2,"a,b,c",1,1,1,"c,d,e,a,g,f,b",2,2,2,2,1,2,1, , , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1.17767232357344,2,3,2,1,1
2729,17-AUG-2020,1,1,4,4, ,3,"e,c,b,f,d,a",3,3,3,3,4,2,2,2,1,1, ,2,"f,g,d,a,c,e,b",-99,-99,-99,-99,-99,5,5,2,3,38,35,23,24,37,64,14,62,12,50,3,1,3,1,3,0,28,0,32,0,3,3,3,3,3,1,2,2,1,2,1,2,2,1,1,1,2,1,2,1,25,32,28,15,31,30,65,48,41,20,1,3,1,1,1,12,0,1,3,43,2,3,1,1,3,1,2,2,1,1,2,1,2,2,1,2,1,2,2,1,1,2,1,2,2,2,2,1,3,1,3,1,1,2,2,2,2,2,1,2,1,2, , ,10, ,2,1,1,3,-99,4,50,2,-99, , , , , , , ,2, ,2,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"set33,set26,set2,set17,set13","_5,_4,_3,_6,_2,_1",Mental health,COVID infection rate,Borders,Social isolation,Household’s economic circumstances,Employment,33,26,2,17,13,"{Choice33,Choice69}","{Choice62,Choice26}","{Choice2,Choice38}","{Choice53,Choice17}","{Choice13,Choice49}",33,62,2,53,13,0,1,0,0,1,1,2,0,2,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,69,26,38,17,49,0,1,0,0,1,1,2,0,2,1,1,0,0,0,1,1,0,2,0,2,0,1,0,1,1,0,0,0,0,0,1,2,1,2,1,"g,c,d,a,f,b,e,h",1,1,1,1,1,1,1,2,"b,c,a",2,2,2,"b,c,a",2,2,3,"f,g,d,a,c,e,b",2,2,1,2,2,2,1, , ,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.496476315746,2,3,3,1,1
